nome,instagram,email,telefone,situacao,obs
Avon Brasil,@avonbrasil,contato@avon.com.br,(11) 3333-1111,lead,Contato: João Silva - Proposta enviada em 15/08
Natura Cosméticos,@naturabrasil,parceria@natura.com.br,(21) 2500-2500,conversando,Em análise da proposta - Follow-up em 20/09
L'Oréal Brasil,@lorealbrasil,influencers@loreal.com.br,(11) 4444-5555,lead,Procuram criadores de conteúdo para skincare
Boticário,@boticario,contato@boticario.com.br,(41) 3300-3300,cliente,Campanha "Verão 2025" - Pagamento confirmado
Miu Miu,@miumiu,pr@miumiu.com,(11) 5555-6666,lead,Enviado deck de propostas
Shein Brasil,@sheinbrasil_official,influencers@shein.com.br,(31) 3456-7890,conversando,Aguardando análise da marca
Carol's Daughter,@carolsdaughter,partnership@carolsdaughter.com,+1 (888) 477-5876,lead,Marca internacional - Skincare e cabelos
Hypera Pharma,@hyperabrasil,marketing@hypera.com.br,(11) 6666-7777,parada,Sem retorno há 3 meses
Biosanear,@biosanear,contato@biosanear.com.br,(41) 3200-1111,lead,Limpeza profissional - Recém captado
Pharmalogist,@pharmalogist,influencer@pharmalogist.com.br,(48) 3388-9999,conversando,Aguardando confirmação de orçamento
